X,Y,OBJECTID,asset_id,system_type,invert_level_nzvd2016,invert_level_wgtn1953,chamber_floor_depth,cover_level_nzvd2016,cover_level_wgtn1953,node_type,manhole_type,status,location,kcdc_histo_id,year_installed
1778784.346,5488266.5725,13010730,KWWN000470,Wastewater,1.35,1.72,1.05,2.4,2.77,WWMH,,INUS,Otaki,OSM00041,1978
1782124.351,5485752.1185,13010731,KWWN000742,Wastewater,10.73,11.11,1.05,11.78,12.16,WWMH,,INUS,Otaki,OSM00491,1978
1767155.174,5468388.7925,13010732,KWWN001042,Wastewater,1.35,1.7,2.73,4.08,4.43,WWMH,,INUS,Paraparaumu,PSM00054,1979
1782959.96,5485377.9485,13010733,KWWN000673,Wastewater,32.76,33.14,1.7,34.46,34.84,WWMH,,INUS,Otaki,OSM00526,1979
1775070.196,5473975.3485,13010734,KWWN000944,Wastewater,41.3,41.65,3.3,44.6,44.95,WWMH,,INUS,Waikanae,WSM00013,1978
1780700.655,5486834.4265,13010735,KWWN000346,Wastewater,4.14,4.51,2.55,6.69,7.06,WWMH,,INUS,Otaki,OSM00231,1978
1782192.954,5485636.5575,13010736,KWWN000738,Wastewater,11.94,12.32,1.07,13.01,13.39,WWMH,,INUS,Otaki,OSM00457,1978
1780594.933,5486453.2155,13010737,KWWN000390,Wastewater,5.18,5.55,1.22,6.4,6.77,WWMH,,INUS,Otaki,OSM00755,1977
1781992.787,5485634.6695,13010738,KWWN000733,Wastewater,10.8,11.18,1.85,12.65,13.03,WWMH,,INUS,Otaki,OSM00452,1979
1769760.383,5473431.4725,13010739,KWWN000921,Wastewater,1.46,1.81,1.76,3.21,3.57,WWMH,,INUS,Waikanae,WSM00945,1987
1783027.785,5485393.4785,13010740,KWWN000672,Wastewater,34.59,34.97,1.27,35.86,36.24,WWMH,,INUS,Otaki,OSM00501,1978
1782610.162,5485959.4625,13010741,KWWN000764,Wastewater,27.31,27.69,1.46,28.77,29.15,WWMH,,INUS,Otaki,OSM00434,1978
1782051.323,5485670.0415,13010742,KWWN000734,Wastewater,9.94,10.32,2.31,12.25,12.63,WWMH,,INUS,Otaki,OSM00453,1978
1774430.407,5473383.3885,13010743,KWWN000994,Wastewater,,,,,,WWMH,,INUS,Waikanae,WSM00296,1978
1778696.625,5487664.4015,13010744,KWWN000445,Wastewater,2.04,2.41,1.02,3.06,3.43,WWMH,,INUS,Otaki,OSM00077,1978
1769654.28,5473233.4905,13010745,KWWN000886,Wastewater,6.46,6.82,2.7,9.16,9.52,WWMH,,INUS,Waikanae,WSM00908,1985
1781205.372,5485996.8455,13010746,KWWN000327,Wastewater,,,,,,WWMH,,INUS,Otaki,OSM00818,1979
1780906.612,5484845.4345,13010747,KWWN000096,Wastewater,8.32,8.69,3.24,11.56,11.93,WWMH,,INUS,Otaki,OSM00789,1978
1778309.107,5487538.9505,13010748,KWWN000167,Wastewater,3.74,4.11,1.02,4.76,5.13,WWMH,,INUS,Otaki,OSM00093,1979
