OBJECTID,us_node_id,ds_node_id,asset_id,system_type,pipe_type,pipe_material,pipe_class,width,length,location,status,kcdc_histo_id,year_installed,GlobalID,SHAPE_Length
13253975,KWWN000563,KWWN000561,KWWP000165,Wastewater,WWMN,AC,,150,41.69915323,Otaki,INUS,OSG00179,1980,{2D091E28-53E1-47D4-AA7D-74D0324786E6},41.6991468496797
13253976,KWWN000275,KWWN000274,KWWP004426,Wastewater,WWMN,AC,,150,34.79173208,Otaki,INUS,OSG00805,1980,{2D5BAD9E-0A5F-45E3-9376-5588BB279ED2},34.7915140233084
13253977,KWWN000179,KWWN000444,KWWP000079,Wastewater,WWMN,AC,,225,14.96739687,Otaki,INUS,OSG00087,1980,{2D5C6019-232D-40EF-8779-E12EA22C7172},14.9675676383907
13253978,KWWN000818,KWWN000817,KWWP000431,Wastewater,WWMN,AC,,150,67.54210037,Otaki,INUS,OSG00493,1980,{2D6B18CF-C329-498F-B45C-BCD4F6315B06},67.5426547972105
13253979,KWWN000757,KWWN000758,KWWP000401,Wastewater,WWMN,AC,,150,30.51281077,Otaki,INUS,OSG00462,1980,{2DA98270-F725-4B6D-A16D-ED09FC9E8A47},30.512962655605
13253980,KWWN000651,KWWN000650,KWWP000630,Wastewater,WWMN,AC,,300,91.6720582,Otaki,INUS,OSG00297,1980,{2DCCC2D2-C4D8-4ABF-982C-499337F125C9},91.6728171332459
13253981,KWWN000978,KWWN000979,KWWP003828,Wastewater,WWMN,AC,,150,26.68591508,Waikanae,INUS,WSG01156,1979,{2E2BD291-0A8D-4EC9-B758-ACA2B7B49A69},26.6859057373838
13253982,KWWN000222,KWWN000223,KWWP004342,Wastewater,WWMN,AC,,150,54.22373562,Otaki,INUS,OSG00708,1980,{2E310B7E-4DE1-4A3E-9FE4-9BFC7CF7B165},54.2234231482976
13253983,KWWN000118,KWWN012010,KWWP004302,Wastewater,WWMN,AC,,525,10.38606975,Otaki,INUS,OSG00667,1980,{2E9B8CE3-3FD1-45A4-B703-95F795508968},10.3860041406417
13253984,KWWN000331,KWWN000330,KWWP004467,Wastewater,WWMN,AC,,150,47.1304466,Otaki,INUS,OSG00864,1980,{2ED601D6-FCEA-4A5A-ACD6-7D78123E19D3},47.1310673868727
13253985,KWWN000369,KWWN000367,KWWP004458,Wastewater,WWMN,AC,,150,68.5436266,Otaki,INUS,OSG00855,1980,{2EE35B31-F4F9-4FBF-A700-DEEB58CA4B31},68.5438508552664
13253986,KWWN000703,KWWN000702,KWWP000295,Wastewater,WWMN,PVC,,150,31.65990023,Otaki,INUS,OSG00383,1990,{2EF3DD0E-0BC6-4151-BE87-BC5D9A3FA371},31.6597759470985
13253987,KWWN000765,KWWN000763,KWWP000403,Wastewater,WWMN,AC,,150,50.02944951,Otaki,INUS,OSG00464,1980,{2EF689F5-062D-4CEA-8744-7D6B6AFB9AAB},50.0301329695241
13253988,KWWN000280,KWWN000273,KWWP004421,Wastewater,WWMN,AC,,300,39.65206897,Otaki,INUS,OSG00800,1980,{2F3868C6-A368-46EB-B11D-5D7B3BE4B747},39.652360585495
13253989,KWWN000652,KWWN000651,KWWP000631,Wastewater,WWMN,AC,,300,67.49839459,Otaki,INUS,OSG00298,1980,{3012F07C-EC08-4CD9-BD03-F9E2A5D0526A},67.4977041758413
13253990,KWWN000160,KWWN000243,KWWP004379,Wastewater,WWMN,AC,,150,63.35502517,Otaki,INUS,OSG00755,1980,{3035DC81-FA9E-448E-B0CA-166B0AB44888},63.3558043510113
13253991,KWWN000520,KWWN000519,KWWP000240,Wastewater,WWMN,AC,,225,66.86165523,Otaki,INUS,OSG00324,1980,{3035F5ED-D0AB-4EAD-B91B-746EE22CF2AD},66.8622359860983
13253992,KWWN000585,KWWN000612,KWWP000160,Wastewater,WWMN,AC,,150,36.92739875,Otaki,INUS,OSG00174,1980,{3072BD3E-F58D-4E43-8F8C-17FB753E49DF},36.9272166977729
13253993,KWWN000289,KWWN000684,KWWP003758,Wastewater,WWMN,AC,,150,88.41865653,Otaki,INUS,OSG00509,1980,{30AD2B5C-4175-4EE1-A862-06350FD624BC},88.4188615173929
13253994,KWWN000566,KWWN000565,KWWP000169,Wastewater,WWMN,AC,,150,3.2560796,Otaki,INUS,OSG00183,1980,{30C1975E-152D-492B-83CB-2CBFFE16E488},3.25640906457764
13253995,KWWN000216,KWWN000219,KWWP000120,Wastewater,WWMN,AC,,150,33.61268451,Otaki,INUS,OSG00134,1980,{30EC6CFB-5412-4689-A362-5DDBCE5D0AB7},33.6127413491425
13253996,KWWN000446,KWWN000448,KWWP000081,Wastewater,WWMN,AC,,225,22.69827768,Otaki,INUS,OSG00089,1980,{30FBE982-58C8-4C4A-B4A2-8F4C54881CFC},22.6981423250205
13253997,KWWN000487,KWWN000552,KWWP000595,Wastewater,WWMN,AC,,150,76.75357989,Otaki,INUS,OSG00237,1980,{3121B45E-ABD3-4C52-A727-638D24E86DC5},76.7535798901722
13253998,KWWA000009,KWWN004959,KWWP007512,Wastewater,WWOT,UNK,,,4.07994493,Paraparaumu,INUS,,1999,{31A909A0-CFBB-4F1F-A442-76A8C1859C49},4.07985612421268
13253999,KWWN000134,KWWN000133,KWWP004308,Wastewater,WWMN,AC,,150,54.01852995,Otaki,INUS,OSG00673,1980,{31ACCFA8-E749-4D65-9468-33B9A24C1165},54.0187425432644
13254000,KWWN000308,KWWN000299,KWWP004428,Wastewater,WWMN,AC,,150,73.24242697,Otaki,INUS,OSG00823,1980,{31D1FC8E-ED83-49DE-A000-B12D9C3413D4},73.2419103656391
13254001,KWWN000711,KWWN000712,KWWP000306,Wastewater,WWMN,AC,,150,18.67444135,Otaki,INUS,OSG00394,1980,{324D2EBC-A5B8-4875-A953-5B786319DCF6},18.6742743369613
13254002,KWWN000078,KWWN000079,KWWP004253,Wastewater,WWMN,AC,,150,72.29898951,Otaki,INUS,OSG00615,1980,{32C7BFFE-CAED-4D09-8654-C870DACCA424},72.2994481439043
13254003,KWWN000980,KWWN000981,KWWP003872,Wastewater,WWMN,AC,,150,46.22562928,Waikanae,PRV,WSG01208,1988,{32FC404A-8BCF-4D5E-8A69-2C65C7FF68E3},46.2261562434847
13254004,KWWN000599,KWWN000488,KWWP000587,Wastewater,WWMN,AC,,150,31.13842463,Otaki,INUS,OSG00228,1980,{33153EE8-E0BF-42A8-9D4E-8F85A3830949},31.1382939963337
13254005,KWWN000720,KWWN000721,KWWP000287,Wastewater,WWMN,PVC,,150,54.77733369,Otaki,PRV,OSG00375,1980,{342090C5-1BDA-43B7-9CEC-F841C22D2BDC},54.7773792817294
13254006,KWWN000959,KWWN000960,KWWP003848,Wastewater,WWMN,AC,,150,78.86117231,Waikanae,INUS,WSG01184,1972,{3442EEF1-A2FA-4D69-A05A-DEAF73148791},78.8603501706071
13254007,KWWN000909,KWWN000910,KWWP002869,Wastewater,WWMN,PVC,,150,76.97268485,Waikanae,INUS,WSG00018,1993,{34508467-B312-41E5-AAAA-4E469523882A},76.9723519849555
13254008,KWWN000489,KWWN000547,KWWP000186,Wastewater,WWMN,AC,,150,84.31367302,Otaki,INUS,OSG00201,1980,{34660535-0C3F-4BDB-B281-E14F90FB743A},84.3135846234829
13254009,KWWN000702,KWWN000700,KWWP000293,Wastewater,WWMN,PVC,,150,73.86668876,Otaki,INUS,OSG00381,1990,{34BD8261-64A4-4DB0-8025-C0A8FD00DCE9},73.8663351872734
13254010,KWWN001039,KWWN002455,KWWP001429,Wastewater,WWMN,AC,,150,66.57335542,Paraparaumu,INUS,PSG01210,1979,{34EB06FD-C42F-425F-833B-63FDB1540C6E},66.5734303231279
13254011,KWWN000513,KWWN000512,KWWP000228,Wastewater,WWMN,AC,,150,33.90568134,Otaki,INUS,OSG00312,1980,{34EE341A-835F-490C-95BA-C30497C4BFEC},33.9061738922128
13254012,KWWN000085,KWWN000086,KWWP004243,Wastewater,WWMN,AC,,150,45.1649518,Otaki,INUS,OSG00605,1980,{34F67CA1-36DC-4F32-9D00-0A1BF5A15B95},45.1653293794933
13254013,KWWN000099,KWWN000082,KWWP004246,Wastewater,WWMN,AC,,150,96.09432367,Otaki,INUS,OSG00608,1980,{352429F0-97EF-458E-949B-87AB3BFC3F24},96.094851459008
13254014,KWWN000523,KWWN000522,KWWP000245,Wastewater,WWMN,AC,,150,115.13952147,Otaki,INUS,OSG00330,1980,{35AD0431-8613-46F4-AF78-6FECE171A03B},115.139722881126
13254015,KWWN000104,KWWN000102,KWWP004291,Wastewater,WWMN,AC,,375,59.47755933,Otaki,INUS,OSG00653,1980,{36001D8C-C3F2-49DD-9428-3433BFD2F99C},59.4778847810364
13254016,KWWN000281,KWWN000259,KWWP004333,Wastewater,WWMN,AC,,150,51.58408626,Otaki,INUS,OSG00699,1980,{362334D6-E967-4AC6-9FB7-F4548CA90F4B},51.5836544754771
13254017,KWWN000020,KWWN000019,KWWP006037,Wastewater,WWMN,AC,,150,86.73106959,Otaki,INUS,OSG00541,1980,{3642A95E-8320-4971-80BC-4CEE94776975},86.7317841283355
13254018,KWWN000624,KWWN000623,KWWP000611,Wastewater,WWMN,AC,,150,35.41133794,Otaki,INUS,OSG00253,1980,{37B5A8DE-8094-44D3-AEA4-825139F86FBF},35.4112878756441
13254019,KWWN001033,KWWN001034,KWWP003443,Wastewater,WWMN,AC,,150,63.20150479,Waikanae,INUS,WSG00632,1980,{37F68A7A-0382-4CBE-86AA-963643F58A5F},63.2012083190236
13254020,KWWN000694,KWWN000704,KWWP000275,Wastewater,WWMN,AC,,150,30.25558229,Otaki,INUS,OSG00363,1980,{3841373D-EECB-4AC6-8E06-2F49605020F4},30.2555822953074
13254021,KWWN000846,KWWN000847,KWWP002903,Wastewater,WWMN,AC,,150,54.17341989,Waikanae,INUS,WSG00063,1976,{3888E150-FA85-4249-9997-C54A3C1C13FE},54.1740419852983
13254022,KWWN000285,KWWN000404,KWWP006054,Wastewater,WWMN,AC,,150,53.19051539,Otaki,INUS,OSG00695,1980,{38C3DCEF-2CB0-4929-AECE-7EBCC1357820},53.1903241767512
13254023,KWWN000865,KWWN001784,KWWP002854,Wastewater,WWMN,AC,,150,93.37865756,Waikanae,INUS,WSG00003,1980,{38E8F07B-9DDF-4A71-B9F3-661A1A154480},93.3793392244988
13254024,KWWN000367,KWWN006778,KWWP004463,Wastewater,WWMN,AC,,225,3.50334106,Otaki,INUS,OSG00860,1980,{38F13B16-B0CC-4DCE-BC4D-0D9798F3F847},3.50341105196366
13254025,KWWN000987,KWWN000988,KWWP003877,Wastewater,WWMN,AC,,150,10.49569266,Waikanae,INUS,WSG01213,1979,{39048254-484F-4F27-95C1-657448CED297},10.4963748504368
13254026,KWWN000389,KWWN000390,KWWP004442,Wastewater,WWMN,AC,,150,34.50453666,Otaki,INUS,OSG00837,1980,{399708E5-88FB-4134-9316-43B2735A2959},34.5043241489343
13254027,KWWN000514,KWWN000507,KWWP000231,Wastewater,WWMN,AC,,150,35.10778754,Otaki,INUS,OSG00315,1980,{399893DF-2E88-4397-8833-A841C2F276B9},35.1076870932158
13254028,KWWN000330,KWWN006939,KWWP004466,Wastewater,WWMN,AC,,150,6.85853624,Otaki,INUS,OSG00863,1980,{399CCD6E-1EE9-4319-A3EF-C279CC330772},6.8582651591159
13254029,KWWN000966,KWWN000960,KWWP005951,Wastewater,WWMN,AC,,150,52.48571662,Waikanae,INUS,WSG01177,1979,{3A1C15B9-2949-493F-9EC9-35E543E39009},52.4854074667116
13254030,KWWN000874,KWWN005530,KWWP004883,Wastewater,WWRM,UPVC,,50,114.88277144,Waikanae,INUS,20040217101347,2002,{3A1ECAF6-0E86-4DA9-B768-C90E28DBD875},114.883412332934
13254031,KWWN000583,KWWN000635,KWWP000043,Wastewater,WWMN,AC,,150,52.85894635,Otaki,INUS,OSG00048,1980,{3A6D603C-5F27-4CCF-BB9B-B2664F9BFD94},52.8582884418447
13254032,KWWN000072,KWWN000073,KWWP004257,Wastewater,WWMN,AC,,150,69.69997757,Otaki,INUS,OSG00619,1980,{3A9AC28A-03E3-49E3-B822-B781F37BDFCA},69.6999232428781
13254033,KWWN000365,KWWN000364,KWWP004445,Wastewater,WWMN,RCON,,150,86.95542167,Otaki,INUS,OSG00840,1980,{3AC29A46-5C0D-4B0F-97C7-540BA1A71622},86.9558019511953
13254034,KWWN000155,KWWN000157,KWWP006057,Wastewater,WWMN,AC,,300,62.36336178,Otaki,INUS,OSG00714,1980,{3B625F82-0E96-4064-AED8-0F294B346DCD},62.3637954670886
13254035,KWWN000212,KWWN000187,KWWP000100,Wastewater,WWMN,AC,,150,57.39082655,Otaki,INUS,OSG00111,1980,{3B6F8E97-D772-42F0-9E61-5D126D19454E},57.3903792722844
13254036,KWWN000927,KWWN000928,KWWP002945,Wastewater,WWMN,AC,,150,2.3180926,Waikanae,INUS,WSG00106,1980,{3BD4B0A8-790B-4680-8A44-E00D032B5DB9},2.31864723475405
13254037,KWWN000046,KWWN000045,KWWP004211,Wastewater,WWMN,AC,,150,88.19778857,Otaki,INUS,OSG00569,1980,{3C04DDB1-0874-4160-9068-523C804A1C00},88.1976914497247
13254038,KWWN000292,KWWN000318,KWWP004423,Wastewater,WWMN,AC,,300,91.26657218,Otaki,INUS,OSG00802,1980,{3C3EB17F-0B4F-4870-9530-062904E6DBA0},91.2660653525822
13254039,KWWN000386,KWWN000373,KWWP004437,Wastewater,WWMN,AC,,225,61.62499811,Otaki,INUS,OSG00832,1980,{3C99759E-12BD-4268-BD06-61B47BF67255},61.6254988947801
13254040,KWWN000869,KWWN001784,KWWP002853,Wastewater,WWMN,AC,,150,57.02849992,Waikanae,INUS,WSG00002,1975,{3CAFC4C2-AD30-4BC7-9F68-150D622D3887},57.0284605874543
13254041,KWWN000268,KWWN000238,KWWP004364,Wastewater,WWMN,AC,,300,5.35939026,Otaki,INUS,OSG00739,1980,{3CD0F081-2EEB-40AF-9FA9-30F296AD6E27},5.35899169665659
13254042,KWWN000403,KWWN000402,KWWP000018,Wastewater,WWMN,AC,,150,61.23962807,Otaki,INUS,OSG00023,1980,{3D3C3CF0-7F92-44D2-8D0E-0220A518D8ED},61.2393118267582
13254043,KWWN000715,KWWN000706,KWWP000302,Wastewater,WWMN,AC,,150,81.07206206,Otaki,INUS,OSG00390,1980,{3D400497-89A9-47AE-B1B1-482F2EA54DEC},81.0715683943276
13254044,KWWN000472,KWWN000471,KWWP000145,Wastewater,WWMN,AC,,150,69.57102915,Otaki,INUS,OSG00159,1980,{3D49FC48-3C86-47CC-B8BB-F5F2BC9A0386},69.5715219470049
13254045,KWWN000398,KWWN000399,KWWP000028,Wastewater,WWMN,AC,,150,40.4345033,Otaki,INUS,OSG00033,1980,{3D5F062E-B6CB-45E0-8D9F-95C947A5BBF9},40.4352853955333
13254046,KWWN000992,KWWN000994,KWWP003784,Wastewater,WWMN,AC,,150,40.92460297,Waikanae,INUS,WSG01089,1979,{3D814EC7-FF37-475F-ACCF-843C10F48834},40.9242324916445
