Geo Point;Geo Shape;NUMERO;TYPE;TYPE_TAMPON;ZSURF;Z_FE_ENTREE1
47.5695846466, -0.5034177188;"{""coordinates"": [-0.5034177188, 47.5695846466], ""type"": ""Point""}";2084219;SIMPLE;CARRE;30.85;30.16
47.5692194574, -0.5034921522;"{""coordinates"": [-0.5034921522, 47.5692194574], ""type"": ""Point""}";2084217;SIMPLE;CARRE;26.52;25.9
47.5693498437, -0.5035808631;"{""coordinates"": [-0.5035808631, 47.5693498437], ""type"": ""Point""}";2084216;SIMPLE;CARRE;;27.65
47.5686579179, -0.5029743596;"{""coordinates"": [-0.5029743596, 47.5686579179], ""type"": ""Point""}";2084198;SIMPLE;CARRE;21.24;20.67
47.5689004097, -0.5031846262;"{""coordinates"": [-0.5031846262, 47.5689004097], ""type"": ""Point""}";2084197;SIMPLE;CARRE;23.09;22.51
47.5689651018, -0.5032485043;"{""coordinates"": [-0.5032485043, 47.5689651018], ""type"": ""Point""}";2084196;SIMPLE;CARRE;23.47;22.77
47.5690278344, -0.5033057342;"{""coordinates"": [-0.5033057342, 47.5690278344], ""type"": ""Point""}";2084195;SIMPLE;CARRE;24.25;23.5
47.5686075792, -0.5029478832;"{""coordinates"": [-0.5029478832, 47.5686075792], ""type"": ""Point""}";2084189;SIMPLE;CARRE;20.96;20.22
47.5686145768, -0.5030527794;"{""coordinates"": [-0.5030527794, 47.5686145768], ""type"": ""Point""}";2084175;SIMPLE;CARRE;21.17;20.45
47.5686347127, -0.5030627581;"{""coordinates"": [-0.5030627581, 47.5686347127], ""type"": ""Point""}";2084174;SIMPLE;CARRE;21.29;20.48
47.568385316, -0.5030180653;"{""coordinates"": [-0.5030180653, 47.568385316], ""type"": ""Point""}";2084129;SIMPLE;CARRE;20.12;19.59
47.5679209934, -0.503398843;"{""coordinates"": [-0.503398843, 47.5679209934], ""type"": ""Point""}";2084124;SIMPLE;CARRE;19.59;18.93
47.5672195994, -0.5048794188;"{""coordinates"": [-0.5048794188, 47.5672195994], ""type"": ""Point""}";2084113;SIMPLE;GRILLE;19.8;19.1
47.5674044611, -0.5044330808;"{""coordinates"": [-0.5044330808, 47.5674044611], ""type"": ""Point""}";2084103;SIMPLE;ROND;19.52;19.02
47.5675716399, -0.5040205583;"{""coordinates"": [-0.5040205583, 47.5675716399], ""type"": ""Point""}";2084095;SIMPLE;CARRE;19.47;18.88
47.5676241867, -0.5038968529;"{""coordinates"": [-0.5038968529, 47.5676241867], ""type"": ""Point""}";2084094;SIMPLE;CARRE;19.47;18.99
47.5674564948, -0.5044778958;"{""coordinates"": [-0.5044778958, 47.5674564948], ""type"": ""Point""}";2084077;SIMPLE;ROND;19.39;18.73
47.4495077959, -0.5558844075;"{""coordinates"": [-0.5558844075, 47.4495077959], ""type"": ""Point""}";2083914;SIMPLE;ROND;29.07;27.4
47.4495679754, -0.5558863134;"{""coordinates"": [-0.5558863134, 47.4495679754], ""type"": ""Point""}";2083912;SIMPLE;ROND;29.14;26.54
