Geo Point;Geo Shape;NUMERO;TYPE;TYPE_RES;DIAMETRE;MATERIAU;LONGUEUR;ZAMONT;ZAVAL
47.49863014, -0.432022005;"{""coordinates"": [[-0.43198482, 47.49862017], [-0.43205919, 47.49864011]], ""type"": ""LineString""}";1065238;C;CANALISATION;0;NC;6.03;36.21;35.8
47.498451515, -0.432362785;"{""coordinates"": [[-0.43205919, 47.49864011], [-0.43266638, 47.49826292]], ""type"": ""LineString""}";1065239;C;CANALISATION;400;NC;62.05;34.08;33.22
47.498406965, -0.432856115;"{""coordinates"": [[-0.43304585, 47.49855101], [-0.43266638, 47.49826292]], ""type"": ""LineString""}";1065240;C;CANALISATION;400;NC;42.93;33.62;33.22
47.49842602, -0.433257045;"{""coordinates"": [[-0.43326639, 47.49842777], [-0.4332477, 47.49842427]], ""type"": ""LineString""}";1065241;C;CANALISATION;0;NC;1.46;0;33.75
47.498419295000005, -0.43324844000000007;"{""coordinates"": [[-0.43324918, 47.49841432], [-0.4332477, 47.49842427]], ""type"": ""LineString""}";1065242;C;CANALISATION;0;NC;1.11;0;33.75
47.498560505, -0.43303079000000005;"{""coordinates"": [[-0.43301573, 47.49857], [-0.43304585, 47.49855101]], ""type"": ""LineString""}";1065243;C;CANALISATION;200;NC;3.1;0;33.72
47.499005475000004, -0.432202855;"{""coordinates"": [[-0.43199153, 47.49891285], [-0.43241418, 47.4990981]], ""type"": ""LineString""}";1065244;C;CANALISATION;300;BETON;33.05;35.2;0
47.49921511756642, -0.432336799057016;"{""coordinates"": [[-0.43211691, 47.49940107], [-0.43241418, 47.4990981], [-0.43258391, 47.49917517]], ""type"": ""LineString""}";1065245;C;CANALISATION;150;AC;55.84;35.8;0
47.49927015, -0.43280369;"{""coordinates"": [[-0.43258391, 47.49917517], [-0.43302347, 47.49936513]], ""type"": ""LineString""}";1065246;C;CANALISATION;300;BETON;39.28;34.92;0
47.498084875, -0.43422055000000004;"{""coordinates"": [[-0.43428536, 47.49810091], [-0.43415574, 47.49806884]], ""type"": ""LineString""}";1065247;C;CANALISATION;400;NC;10.39;32.75;0
47.499078624999996, -0.43491415;"{""coordinates"": [[-0.43489581, 47.49907548], [-0.43493249, 47.49908177]], ""type"": ""LineString""}";1065249;C;CANALISATION;300;NC;2.85;33.95;32.92
47.499057504999996, -0.434829545;"{""coordinates"": [[-0.43476328, 47.49903953], [-0.43489581, 47.49907548]], ""type"": ""LineString""}";1065250;C;CANALISATION;400;NC;10.75;34.13;33.95
