Geo Point;Geo Shape;GID;DIAMETRE;MATERIAU;DATEPOSE;RADIER;ZSURF;EXPLOIT;NUMERO
47.4676269671, -0.6337625082;"{""coordinates"": [-0.6337625082, 47.4676269671], ""type"": ""Point""}";64912;1000;BETON;2021-01-01;67.93;69.85;ANGERS LOIRE METROPOLE;1638358
47.4015156581, -0.5258999982;"{""coordinates"": [-0.5258999982, 47.4015156581], ""type"": ""Point""}";64943;1000;BETON;2020-01-01;30.81;32.26;PRIVEE;1638704
47.4011156342, -0.5252392779;"{""coordinates"": [-0.5252392779, 47.4011156342], ""type"": ""Point""}";64944;1000;BETON;2020-01-01;30.17;31.31;NON PRIS GESTION;1638705
47.4011971785, -0.5272219089;"{""coordinates"": [-0.5272219089, 47.4011971785], ""type"": ""Point""}";64948;1000;BETON;2020-01-01;32.23;33.27;PRIVEE;1638713
47.400745372, -0.5266971283;"{""coordinates"": [-0.5266971283, 47.400745372], ""type"": ""Point""}";64950;1000;BETON;2020-01-01;31.74;33.44;NON PRIS GESTION;1638717
47.4009632592, -0.5256670792;"{""coordinates"": [-0.5256670792, 47.4009632592], ""type"": ""Point""}";64951;1000;BETON;2020-01-01;30.67;32.32;NON PRIS GESTION;1638720
47.4494628113, -0.5119537291;"{""coordinates"": [-0.5119537291, 47.4494628113], ""type"": ""Point""}";72645;1000;BETON;2024-12-01;24.55;26.76;ANGERS LOIRE METROPOLE;1914359
47.4582800942, -0.7075289826;"{""coordinates"": [-0.7075289826, 47.4582800942], ""type"": ""Point""}";57502;1000;BETON;2011-06-01;55.67;57.41;NON PRIS GESTION;948910
47.4595454993, -0.7067488431;"{""coordinates"": [-0.7067488431, 47.4595454993], ""type"": ""Point""}";57565;1000;BETON;2011-06-01;59.39;61.08;NON PRIS GESTION;948988
47.4584062568, -0.7073803201;"{""coordinates"": [-0.7073803201, 47.4584062568], ""type"": ""Point""}";57568;1000;BETON;2011-06-01;56.2;57.8;NON PRIS GESTION;948994
47.4593948381, -0.7061433422;"{""coordinates"": [-0.7061433422, 47.4593948381], ""type"": ""Point""}";57583;1000;BETON;2011-06-01;59.54;61.29;NON PRIS GESTION;949003
47.4602497929, -0.7068746323;"{""coordinates"": [-0.7068746323, 47.4602497929], ""type"": ""Point""}";57584;1000;BETON;2011-06-01;60.89;62.49;NON PRIS GESTION;949005
47.4595072203, -0.7078677558;"{""coordinates"": [-0.7078677558, 47.4595072203], ""type"": ""Point""}";57605;1000;BETON;2011-06-01;58.22;59.37;NON PRIS GESTION;949107
47.4749876426, -0.5606273563;"{""coordinates"": [-0.5606273563, 47.4749876426], ""type"": ""Point""}";66258;600;PEHD;2021-08-01;18.95;20.19;ANGERS LOIRE METROPOLE;1649778
47.4748393952, -0.5606986886;"{""coordinates"": [-0.5606986886, 47.4748393952], ""type"": ""Point""}";66259;600;PEHD;2021-08-01;18.88;20.15;ANGERS LOIRE METROPOLE;1649781
47.4002474799, -0.5442155222;"{""coordinates"": [-0.5442155222, 47.4002474799], ""type"": ""Point""}";71921;1000;BETON;2023-12-01;37.52;38.87;ANGERS LOIRE METROPOLE;1903538
47.4712198264, -0.532234128;"{""coordinates"": [-0.532234128, 47.4712198264], ""type"": ""Point""}";65464;1000;BETON;2021-04-01;37.08;38.8;ANGERS LOIRE METROPOLE;1642122
47.4414964202, -0.5081294363;"{""coordinates"": [-0.5081294363, 47.4414964202], ""type"": ""Point""}";52721;1000;BETON;2006-10-01;23.07;24.26;ANGERS LOIRE METROPOLE;936659
47.4060626188, -0.625745823;"{""coordinates"": [-0.625745823, 47.4060626188], ""type"": ""Point""}";52801;1000;BETON;;0;0;PRIVEE;937118
47.4062553533, -0.625074551;"{""coordinates"": [-0.625074551, 47.4062553533], ""type"": ""Point""}";52805;1000;BETON;;30.4;31.95;PRIVEE;937127
47.4223125272, -0.4256381343;"{""coordinates"": [-0.4256381343, 47.4223125272], ""type"": ""Point""}";51646;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922723
47.4225660548, -0.4234852733;"{""coordinates"": [-0.4234852733, 47.4225660548], ""type"": ""Point""}";51649;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922726
47.4217178636, -0.4424141178;"{""coordinates"": [-0.4424141178, 47.4217178636], ""type"": ""Point""}";51651;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922728
47.4205750776, -0.4377446951;"{""coordinates"": [-0.4377446951, 47.4205750776], ""type"": ""Point""}";51656;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922733
47.4204546156, -0.4268298307;"{""coordinates"": [-0.4268298307, 47.4204546156], ""type"": ""Point""}";51657;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922734
47.4200608968, -0.4451348212;"{""coordinates"": [-0.4451348212, 47.4200608968], ""type"": ""Point""}";51658;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922735
47.420382591, -0.4442848914;"{""coordinates"": [-0.4442848914, 47.420382591], ""type"": ""Point""}";51659;1000;BETON;1950-01-01;18.63;19.43;ANGERS LOIRE METROPOLE;922736
47.4202493274, -0.4444660906;"{""coordinates"": [-0.4444660906, 47.4202493274], ""type"": ""Point""}";51660;1000;BETON;1950-01-01;0;0;ANGERS LOIRE METROPOLE;922737
47.5789101624, -0.5501820278;"{""coordinates"": [-0.5501820278, 47.5789101624], ""type"": ""Point""}";62009;1000;BETON;2019-03-01;51.14;52.9;ANGERS LOIRE METROPOLE;1608445
47.5788548184, -0.5496998144;"{""coordinates"": [-0.5496998144, 47.5788548184], ""type"": ""Point""}";62010;1000;BETON;2019-03-01;48.97;50.79;ANGERS LOIRE METROPOLE;1608447
47.4853821142, -0.527062094;"{""coordinates"": [-0.527062094, 47.4853821142], ""type"": ""Point""}";63669;1000;BETON;2020-03-01;39.8;41.85;ANGERS LOIRE METROPOLE;1624713
47.4876875886, -0.5272681999;"{""coordinates"": [-0.5272681999, 47.4876875886], ""type"": ""Point""}";63683;1000;BETON;2020-01-01;45.45;46.37;ANGERS LOIRE METROPOLE;1624742
47.4902792173, -0.5271378615;"{""coordinates"": [-0.5271378615, 47.4902792173], ""type"": ""Point""}";63702;1000;BETON;2020-05-01;43.66;45.53;ANGERS LOIRE METROPOLE;1624760
