Geo Point;Geo Shape;GID;MATERIAU;DATEPOSE;ECOUNORM;ZAMONT;ZAVAL;EXPLOIT;LONGUEUR;DIAMETRE;NUMERO
47.5029709864, -0.5963598477500001;"{""coordinates"": [[-0.596235882, 47.5031936045], [-0.5964838135, 47.5027483683]], ""type"": ""LineString""}";12545;PVC;20031101000000;GRAVITAIRE;43.16;42.88;ANGERS LOIRE METROPOLE;52.91;200;148388
47.47888276445, -0.5282545511000001;"{""coordinates"": [[-0.5281674184, 47.4789276104], [-0.5283416838, 47.4788379185]], ""type"": ""LineString""}";64280;PVC;20200301000000;GRAVITAIRE;43;42.89;ANGERS LOIRE METROPOLE;16.49;200;1624065
47.47905011105, -0.5279374923;"{""coordinates"": [[-0.5277075662, 47.4791726117], [-0.5281674184, 47.4789276104]], ""type"": ""LineString""}";64302;PVC;20200301000000;GRAVITAIRE;43.3;43;ANGERS LOIRE METROPOLE;44.08;200;1624118
47.4834296357, -0.52670573055;"{""coordinates"": [[-0.5265762408, 47.4834198589], [-0.5268352203, 47.4834394125]], ""type"": ""LineString""}";64441;PVC;20191001000000;GRAVITAIRE;38.47;37.46;ANGERS LOIRE METROPOLE;19.64;250;1624659
47.59199548885, -0.5559860193499999;"{""coordinates"": [[-0.5559580086, 47.5922503016], [-0.5560140301, 47.5917406761]], ""type"": ""LineString""}";33537;PVC;19780401000000;GRAVITAIRE;36.99;34.49;ANGERS LOIRE METROPOLE;56.82;160;625396
47.5059058195, -0.6031965812;"{""coordinates"": [[-0.6031760877, 47.505878005], [-0.6032170747, 47.505933634]], ""type"": ""LineString""}";27701;AC;19810101000000;GRAVITAIRE;43.54;43.4;NON PRIS GESTION;6.91;200;163544
47.4448499512, -0.5079045275;"{""coordinates"": [[-0.5077702095, 47.4448630381], [-0.5080388455, 47.4448368643]], ""type"": ""LineString""}";29570;PVC;19970601000000;GRAVITAIRE;24.65;24.55;ANGERS LOIRE METROPOLE;20.47;200;165413
47.42148237765, -0.61007547805;"{""coordinates"": [[-0.610019234, 47.4216016478], [-0.6101317221, 47.4213631075]], ""type"": ""LineString""}";32351;PVC;20091201000000;GRAVITAIRE;18.77;18.62;ANGERS LOIRE METROPOLE;27.84;200;617005
47.54405020765, -0.6677581254;"{""coordinates"": [[-0.6677127093, 47.5438214924], [-0.6678035415, 47.5442789229]], ""type"": ""LineString""}";35181;PVC;19951101000000;GRAVITAIRE;73.39;73;ANGERS LOIRE METROPOLE;51.31;200;634398
47.44230994015, -0.48277644634999994;"{""coordinates"": [[-0.4827538303, 47.4422656034], [-0.4827990624, 47.4423542769]], ""type"": ""LineString""}";35281;PVC;19500101000000;GRAVITAIRE;18.58;0;ANGERS LOIRE METROPOLE;10.43;160;635221
47.396801392392014, -0.5075694637493272;"{""coordinates"": [[-0.5074295041, 47.3966010537], [-0.5075935099, 47.396835754], [-0.5077093575, 47.3970017771]], ""type"": ""LineString""}";8202;NC;19830101000000;GRAVITAIRE;36.12;35.62;COMMUNE DE SAINT MELAINE SUR AUBANCE;49.3;200;144045
47.5158766461, -0.4640696317;"{""coordinates"": [[-0.4639964335, 47.5158862682], [-0.4641428299, 47.515867024]], ""type"": ""LineString""}";33161;PVC;20111001000000;GRAVITAIRE;38.45;38.18;ANGERS LOIRE METROPOLE;11.23;250;623239
